AppID,游戏名称,发行日期,开发商,发行商,游戏类型,分类,标签,是否免费,货币,原价,现价,折扣百分比,格式化价格,总评论数,好评数,差评数,好评率,差评率,销量,平均游戏时长(分钟),中位数游戏时长(分钟),当前在线人数,24小时峰值,历史最高在线,支持语言,Windows支持,Mac支持,Linux支持,年龄限制,DLC数量,成就数量
553850,HELLDIVERS™ 2,2024 年 2 月 8 日,Arrowhead Game Studios,PlayStation Publishing LLC,动作,"多人, 合作, 在线合作, Steam 成就, 应用内购买, 可调整文字大小, 视角舒适度, 聊天语音转文字, 聊天文字转语音, 可选颜色, 自定义音量控制, 可调整难度, 朗读游戏菜单, 无需应对快速反应事件, 立体声, 字幕选项, 环绕声, 部分支持控制器, 家庭共享","动作, 多人, 合作, 在线合作, Steam 成就, 应用内购买",FALSE,CNY,198,198,0,¥198.00,1017635,775883,241752,76.24%,23.76%,30529050,4806,2279,24235,39716,458208,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 日语, 韩语, 葡萄牙语 - 巴西, 西班牙语 - 拉丁美洲, 波兰语, 葡萄牙语 - 葡萄牙, 俄语, 简体中文, 繁体中文, 具有完全音频支持的语言",TRUE,FALSE,FALSE,18,1,38
230410,Warframe 星际战甲,2013 年 3 月 25 日,Digital Extremes,Digital Extremes,"动作, 角色扮演, 免费开玩","单人, 多人, 合作, 在线合作, 跨平台多人, Steam 成就, 完全支持控制器, Steam 集换式卡牌, Steam 创意工坊, 应用内购买, 视角舒适度, 可选颜色, 自定义音量控制, 无需应对快速反应事件, 立体声, 环绕声, 在手机上远程畅玩, 在平板上远程畅玩, 在电视上远程畅玩, 可用 HDR","免费开玩, 刷宝射击游戏, 动作角色扮演, 第三人称射击, 动作, 角色扮演, 第三人称, 角色自定义, 大型多人在线, 在线合作",TRUE,CNY,0,0,0,Free,626503,545393,81110,87.05%,12.95%,18795090,12745,550,113846,173377,181509,"英语, 德语, 法语, 意大利语, 韩语, 西班牙语 - 西班牙, 简体中文, 俄语, 日语, 波兰语, 葡萄牙语 - 巴西, 繁体中文, 土耳其语, 乌克兰语, 泰语, 具有完全音频支持的语言",TRUE,FALSE,FALSE,18,15,193
1245620,艾尔登法环,2022 年 2 月 24 日,"FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment","动作, 角色扮演","单人, 多人, 玩家对战, 线上玩家对战, 合作, 在线合作, Steam 成就, 完全支持控制器, Steam 集换式卡牌, 视角舒适度, 自定义音量控制, 无需应对快速反应事件, 随时保存, 立体声, 环绕声, Steam 云, 家庭共享","类魂系列, 开放世界, 黑暗奇幻, 角色扮演, 困难, 动作角色扮演, 多人, 第三人称, 奇幻, 单人",FALSE,CNY,298,298,0,¥298.00,1056677,981540,75137,92.89%,7.11%,31700310,8032,5454,16048,26558,952523,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 日语, 韩语, 波兰语, 葡萄牙语 - 巴西, 俄语, 简体中文, 西班牙语 - 拉丁美洲, 泰语, 繁体中文, 阿拉伯语, 具有完全音频支持的语言",TRUE,FALSE,FALSE,16,2,42
105600,Terraria,2011 年 5 月 16 日,Re-Logic,Re-Logic,"动作, 冒险, 独立, 角色扮演","单人, 多人, 玩家对战, 线上玩家对战, 合作, 在线合作, Steam 成就, 完全支持控制器, Steam 集换式卡牌, Steam 云, 在手机上远程畅玩, 在平板上远程畅玩, 在电视上远程畅玩, 家庭共享","开放世界生存制作, 沙盒, 生存, 2D, 多人, 冒险, 像素图形, 制作, 建造, 探索",FALSE,CNY,42,42,0,¥42.00,1409473,1373979,35494,97.48%,2.52%,42284190,7749,2133,16068,26518,486918,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 波兰语, 葡萄牙语 - 巴西, 俄语, 简体中文",TRUE,TRUE,TRUE,0,2,115
431960,Wallpaper Engine：壁纸引擎,2018 年 11 月 16 日,Wallpaper Engine Team,Wallpaper Engine Team,"休闲, 独立, 动画制作和建模, 设计和插画, 照片编辑, 实用工具","Steam 成就, Steam 集换式卡牌, Steam 创意工坊, Steam 创意工坊, 包含关卡编辑器","成人, 实用工具, 动漫, 软件, 设计与插画, 动画制作和建模, 第一人称, 工作场所不宜, 独立, 网络梗",FALSE,CNY,22.9,22.9,0,¥22.90,894458,876898,17560,98.04%,1.96%,26833740,5326,1009,75238,124666,150271,"英语, 德语, 简体中文, 波兰语, 葡萄牙语 - 巴西, 法语, 意大利语, 西班牙语 - 西班牙, 芬兰语, 日语, 韩语, 瑞典语, 泰语, 繁体中文, 土耳其语, 葡萄牙语 - 葡萄牙, 俄语, 丹麦语, 捷克语, 阿拉伯语, 乌克兰语, 印度尼西亚语, 波斯语",TRUE,FALSE,FALSE,0,1,17
1086940,博德之门3,2023 年 8 月 3 日,Larian Studios,Larian Studios,"冒险, 角色扮演, 策略","单人, 多人, 合作, 在线合作, 局域网合作, 跨平台多人, Steam 成就, 完全支持控制器, Steam 集换式卡牌, 可调整文字大小, 视角舒适度, 可选颜色, 自定义音量控制, 可调整难度, 无需应对快速反应事件, 随时保存, 立体声, 字幕选项, 环绕声, Steam 云, 在电视上远程畅玩, 远程同乐, 家庭共享","角色扮演, 角色自定义, 选择取向, 剧情丰富, 回合制战斗, 龙与地下城, 电脑角色扮演, 奇幻, 色情内容, 冒险",FALSE,CNY,298,298,0,¥298.00,760662,736688,23974,96.85%,3.15%,22819860,7410,4337,29020,52376,875343,"英语, 法语, 德语, 西班牙语 - 西班牙, 波兰语, 俄语, 简体中文, 土耳其语, 葡萄牙语 - 巴西, 意大利语, 西班牙语 - 拉丁美洲, 繁体中文, 乌克兰语, 韩语, 日语, 具有完全音频支持的语言",TRUE,TRUE,FALSE,18,2,54
291550,Brawlhalla,2017 年 10 月 17 日,Blue Mammoth Games,Ubisoft,"动作, 独立, 免费开玩","单人, 多人, 玩家对战, 线上玩家对战, 同屏/分屏玩家对战, 合作, 在线合作, 同屏/分屏合作, 同屏/分屏, 跨平台多人, Steam 成就, Steam 集换式卡牌, 部分支持控制器, 在手机上远程畅玩, 在平板上远程畅玩, 在电视上远程畅玩, 远程同乐","免费开玩, 多人, 格斗, 2D 格斗, 2D 平台, 休闲, 本地多人, 合作, 平台游戏, 控制器",TRUE,CNY,0,0,0,Free,386456,314809,71647,81.46%,18.54%,11593680,2495,211,6599,14707,34169,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 日语, 韩语, 葡萄牙语 - 巴西, 俄语, 简体中文, 繁体中文, 西班牙语 - 拉丁美洲, 土耳其语, 具有完全音频支持的语言",TRUE,TRUE,FALSE,0,4,65
4000,Garry's Mod,2006 年 11 月 29 日,Facepunch Studios,Valve,"休闲, 独立, 模拟","单人, 多人, 玩家对战, 线上玩家对战, 局域网玩家对战, 合作, 在线合作, 局域网合作, 跨平台多人, Steam 成就, Steam 集换式卡牌, 支持字幕, Steam 创意工坊, 可选颜色, 自定义音量控制, 可调整难度, 无需应对快速反应事件, 随时保存, 立体声, Steam 云, 已启用 Valve 反作弊保护, 包含关卡编辑器, 包括 Source SDK, 在平板上远程畅玩, 家庭共享","沙盒, 可模组化, 多人, 物理, 建造, 休闲, 欢乐, 第一人称, 单人, 第一人称射击",FALSE,CNY,36,36,0,¥36.00,1159707,1122546,37161,96.80%,3.20%,34791210,10746,1331,10757,23888,73750,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 保加利亚语, 捷克语, 丹麦语, 荷兰语, 芬兰语, 希腊语, 匈牙利语, 日语, 韩语, 挪威语, 波兰语, 葡萄牙语 - 葡萄牙, 葡萄牙语 - 巴西, 俄语, 简体中文, 瑞典语, 泰语, 繁体中文, 土耳其语, 乌克兰语, 越南语, 克罗地亚语, 爱沙尼亚语, 希伯来语, 立陶宛语, 斯洛伐克语, 具有完全音频支持的语言",TRUE,TRUE,TRUE,0,0,29
1085660,命运2,2019 年 10 月 1 日,Bungie,Bungie,"动作, 冒险, 免费开玩","单人, 多人, 玩家对战, 线上玩家对战, 合作, 在线合作, Steam 成就, 应用内购买, 可选颜色, 自定义音量控制, 字幕选项, 部分支持控制器","免费开玩, 开放世界, 刷宝射击游戏, 多人, 大型多人在线角色扮演, 第一人称射击, 合作, 玩家对战环境, 玩家对战, 射击",TRUE,CNY,0,0,0,Free,625616,497891,127725,79.58%,20.42%,18768480,12072,557,24097,37142,316651,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 日语, 韩语, 波兰语, 葡萄牙语 - 巴西, 俄语, 简体中文, 西班牙语 - 拉丁美洲, 繁体中文, 具有完全音频支持的语言",TRUE,FALSE,FALSE,0,16,23
359550,彩虹六号：围攻X,2015 年 12 月 1 日,Ubisoft Montreal,Ubisoft,"动作, 免费开玩","单人, 多人, 玩家对战, 线上玩家对战, 合作, 在线合作, 完全支持控制器, Steam 集换式卡牌, 应用内购买, 在手机上远程畅玩, 在平板上远程畅玩","第一人称射击, 玩家对战, 多人, 射击, 战术, 电竞, 竞技, 在线合作, 动作, 英雄射击",TRUE,CNY,0,0,0,Free,1398584,1172854,225730,83.86%,16.14%,41957520,15436,2502,26012,47903,200476,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 捷克语, 荷兰语, 日语, 韩语, 波兰语, 葡萄牙语 - 巴西, 俄语, 繁体中文, 简体中文, 土耳其语, 泰语, 具有完全音频支持的语言",TRUE,FALSE,FALSE,0,9,48
252490,Rust,2018 年 2 月 8 日,Facepunch Studios,Facepunch Studios,"动作, 冒险, 独立, 大型多人在线, 角色扮演","多人, 大型多人在线, 玩家对战, 线上玩家对战, 合作, 在线合作, 跨平台多人, Steam 成就, Steam 集换式卡牌, Steam 创意工坊, 应用内购买, 已启用 Valve 反作弊保护, 统计数据, 在平板上远程畅玩","生存, 制作, 多人, 开放世界, 开放世界生存制作, 建造, 玩家对战, 沙盒, 冒险, 第一人称",FALSE,CNY,138,69,50,¥69.00,1227784,1071135,156649,87.24%,12.76%,36833520,23116,3226,62022,128166,259646,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 日语, 韩语, 俄语, 简体中文, 乌克兰语, 波兰语, 葡萄牙语 - 葡萄牙, 土耳其语, 阿拉伯语, 捷克语, 丹麦语, 荷兰语, 芬兰语, 希腊语, 挪威语, 葡萄牙语 - 巴西, 西班牙语 - 拉丁美洲, 瑞典语, 繁体中文, 越南语, 具有完全音频支持的语言",TRUE,TRUE,FALSE,0,5,92
552990,World of Warships,2017 年 11 月 15 日,Wargaming Group Limited,Wargaming Group Limited,"动作, 大型多人在线, 模拟, 策略, 免费开玩","多人, 大型多人在线, 玩家对战, 线上玩家对战, 合作, 在线合作, Steam 成就, Steam 集换式卡牌, 应用内购买, 可调整文字大小, 视角舒适度, 可选颜色, 自定义音量控制, 无需应对快速反应事件, Steam 云","免费开玩, 海战, 动作, 合作, 战术, 在线合作, 多人, 海军, 玩家对战, 二战",TRUE,CNY,0,0,0,Free,146552,112887,33665,77.03%,22.97%,4396560,4442,304,30788,37817,400538,"英语, 法语, 德语, 捷克语, 日语, 波兰语, 俄语, 泰语, 土耳其语, 西班牙语 - 西班牙, 韩语, 葡萄牙语 - 巴西, 繁体中文, 意大利语, 简体中文, 乌克兰语, 荷兰语, 西班牙语 - 拉丁美洲, 具有完全音频支持的语言",TRUE,FALSE,FALSE,0,25,43
346110,ARK: Survival Evolved,2017 年 8 月 27 日,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA","动作, 冒险, 独立, 大型多人在线, 角色扮演","单人, 多人, 大型多人在线, 合作, Steam 成就, 完全支持控制器, Steam 创意工坊, Steam 云, 已启用 Valve 反作弊保护, 包含关卡编辑器, 在平板上远程畅玩, 家庭共享","开放世界生存制作, 生存, 多人, 开放世界, 恐龙, 制作, 建造, 冒险, 基地建设, 合作",FALSE,CNY,58,58,0,¥58.00,730170,612177,117993,83.84%,16.16%,21905100,11615,919,12594,23414,247292,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 俄语, 葡萄牙语 - 巴西, 简体中文, 捷克语, 丹麦语, 荷兰语, 匈牙利语, 波兰语, 瑞典语, 泰语, 繁体中文, 土耳其语, 乌克兰语, 芬兰语, 日语, 韩语, 具有完全音频支持的语言",TRUE,TRUE,FALSE,0,18,32
413150,Stardew Valley,2016 年 2 月 26 日,ConcernedApe,ConcernedApe,"独立, 角色扮演, 模拟","单人, 多人, 合作, 在线合作, 局域网合作, 同屏/分屏合作, 同屏/分屏, Steam 成就, 完全支持控制器, Steam 集换式卡牌, Steam 云, 在手机上远程畅玩, 在平板上远程畅玩, 远程同乐, 家庭共享","农场模拟, 像素图形, 多人, 生活模拟, 角色扮演, 放松, 模拟, 农业, 制作, 独立",FALSE,CNY,48,48,0,¥48.00,886195,872384,13811,98.44%,1.56%,26585850,4590,1675,38984,72230,236614,"英语, 德语, 西班牙语 - 西班牙, 日语, 葡萄牙语 - 巴西, 俄语, 简体中文, 法语, 意大利语, 匈牙利语, 韩语, 土耳其语",TRUE,TRUE,TRUE,0,1,49
242760,The Forest,2018 年 4 月 30 日,Endnight Games Ltd,Endnight Games Ltd,"动作, 冒险, 独立, 模拟","单人, 多人, 合作, 在线合作, 局域网合作, 定位控制器支持, 已支持 VR, 部分支持控制器, Steam 云, 家庭共享","开放世界生存制作, 生存, 恐怖, 开放世界, 制作, 冒险, 建造, 生存恐怖, 第一人称, 动作",FALSE,CNY,70,70,0,¥70.00,627791,599805,27986,95.54%,4.46%,18833730,1502,811,1938,4522,109242,"英语, 法语, 德语, 捷克语, 芬兰语, 日语, 韩语, 波兰语, 葡萄牙语 - 巴西, 俄语, 简体中文, 瑞典语, 繁体中文, 土耳其语, 意大利语, 西班牙语 - 西班牙, 具有完全音频支持的语言",TRUE,FALSE,FALSE,0,0,45
1491000,War Robots: Frontiers,2025 年 3 月 4 日,MY.GAMES,MY.GAMES,"动作, 模拟, 免费开玩","多人, 玩家对战, 线上玩家对战, 跨平台多人, Steam 成就, 完全支持控制器, 应用内购买, 视角舒适度, 自定义音量控制, 无需应对快速反应事件, 立体声, 字幕选项, 环绕声","免费开玩, 第三人称射击, 机甲, 玩家对战, 多人, 动作, 竞技场射击, 机器人, 科幻, 未来",TRUE,CNY,0,0,0,Free,3082,1977,1105,64.15%,35.85%,92460,606,380,190,350,1460,"英语, 德语, 西班牙语 - 西班牙, 简体中文, 葡萄牙语 - 巴西, 法语, 日语, 波兰语, 俄语, 繁体中文, 土耳其语, 韩语, 具有完全音频支持的语言",TRUE,FALSE,FALSE,0,4,33
218620,PAYDAY 2,2013 年 8 月 13 日,OVERKILL - a Starbreeze Studio.,Starbreeze Entertainment,"动作, 角色扮演","单人, 多人, 合作, 在线合作, Steam 成就, 完全支持控制器, 定位控制器支持, 已支持 VR, Steam 集换式卡牌, 应用内购买, 视角舒适度, 自定义音量控制, 可调整难度, 无需应对快速反应事件, 立体声, Steam 云, 在手机上远程畅玩, 在平板上远程畅玩, 在电视上远程畅玩, 家庭共享","动作, 角色扮演, 单人, 多人, 合作, 在线合作, Steam 成就",FALSE,CNY,42,42,0,¥42.00,663082,594327,68755,89.63%,10.37%,19892460,6980,562,17355,24847,247628,"英语, 德语, 法语, 意大利语, 西班牙语 - 西班牙, 荷兰语, 俄语, 日语, 简体中文, 西班牙语 - 拉丁美洲, 韩语, 波兰语, 具有完全音频支持的语言",TRUE,FALSE,TRUE,18,79,1328
291480,Warface: Clutch,2014 年 7 月 1 日,MY.GAMES,MY.GAMES,"动作, 大型多人在线, 免费开玩","多人, 大型多人在线, 玩家对战, 线上玩家对战, 合作, 在线合作, Steam 成就, Steam 集换式卡牌, 应用内购买","免费开玩, 第一人称射击, 多人, 射击, 动作, 玩家对战, 合作, 枪械改装, 角色自定义, 第一人称",TRUE,CNY,0,0,0,Free,82197,54554,27643,66.37%,33.63%,2465910,1780,171,92,360,13867,"英语, 法语, 德语, 波兰语, 西班牙语 - 西班牙, 简体中文, 葡萄牙语 - 巴西, 韩语, 俄语, 土耳其语, 具有完全音频支持的语言",TRUE,FALSE,FALSE,16,10,67
899770,Last Epoch,2024 年 2 月 21 日,Eleventh Hour Games,Eleventh Hour Games,"动作, 冒险, 独立, 角色扮演","单人, 多人, 合作, 在线合作, 完全支持控制器, 应用内购买, Steam 云","动作角色扮演, 刷宝, 砍杀, 角色扮演, 等角视角, 多人, 动作, 俯视, 合作, 冒险",FALSE,CNY,128,128,0,¥128.00,110623,88027,22596,79.57%,20.43%,3318690,5559,2562,848,1469,258503,"英语, 法语, 德语, 韩语, 波兰语, 葡萄牙语 - 巴西, 俄语, 简体中文, 西班牙语 - 西班牙, 日语, 具有完全音频支持的语言",TRUE,FALSE,FALSE,0,8,0
1091500,赛博朋克 2077,2020 年 12 月 10 日,CD PROJEKT RED,CD PROJEKT RED,角色扮演,"单人, Steam 成就, 完全支持控制器, Steam 集换式卡牌, 可调整文字大小, 视角舒适度, 可选颜色, 自定义音量控制, 可调整难度, 无需应对快速反应事件, 随时保存, 立体声, 字幕选项, 环绕声, Steam 云, 家庭共享","角色扮演, 单人, Steam 成就, 完全支持控制器, Steam 集换式卡牌, 可调整文字大小",FALSE,CNY,298,104.3,65,¥104.30,844921,713071,131850,84.39%,15.61%,25347630,5056,3200,28550,45437,830387,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 阿拉伯语, 捷克语, 匈牙利语, 日语, 韩语, 波兰语, 葡萄牙语 - 巴西, 俄语, 简体中文, 西班牙语 - 拉丁美洲, 泰语, 繁体中文, 土耳其语, 乌克兰语, 具有完全音频支持的语言",TRUE,TRUE,FALSE,18,3,57
381210,黎明杀机,2016 年 6 月 14 日,Behaviour Interactive Inc.,Behaviour Interactive Inc.,动作,"多人, 玩家对战, 线上玩家对战, 合作, 在线合作, 跨平台多人, Steam 成就, 完全支持控制器, Steam 集换式卡牌, Steam 云, 在手机上远程畅玩, 在平板上远程畅玩, 在电视上远程畅玩, 家庭共享","恐怖, 多人, 生存恐怖, 在线合作, 合作, 生存, 血腥, 团队导向, 鲜血, 第三人称",FALSE,CNY,93.75,93.75,0,¥93.75,797216,630223,166993,79.05%,20.95%,23916480,11633,1383,27069,49532,120430,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 俄语, 简体中文, 葡萄牙语 - 巴西, 泰语, 繁体中文, 日语, 韩语, 波兰语, 西班牙语 - 拉丁美洲, 土耳其语, 具有完全音频支持的语言",TRUE,FALSE,FALSE,18,37,288
990080,霍格沃茨之遗,2023 年 2 月 10 日,Avalanche Software,Warner Bros. Games,"动作, 冒险, 角色扮演","单人, Steam 成就, 完全支持控制器, 应用内购买, 可调整文字大小, 视角舒适度, 自定义音量控制, 朗读游戏菜单, 随时保存, 立体声, 环绕声, Steam 云, 可用 HDR, 家庭共享","魔法, 开放世界, 奇幻, 单人, 冒险, 角色扮演, 角色自定义, 探索, 剧情丰富, 第三人称",FALSE,CNY,384,384,0,¥384.00,321395,289966,31429,90.22%,9.78%,9641850,2214,1666,7639,17966,527652,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 阿拉伯语, 日语, 韩语, 波兰语, 葡萄牙语 - 巴西, 俄语, 简体中文, 西班牙语 - 拉丁美洲, 繁体中文, 具有完全音频支持的语言",TRUE,FALSE,FALSE,0,1,45
438100,VRChat,2017 年 2 月 1 日,VRChat Inc.,VRChat Inc.,"冒险, 休闲, 大型多人在线, 模拟, 体育, 免费开玩, 抢先体验","多人, 大型多人在线, 玩家对战, 线上玩家对战, 合作, 在线合作, 跨平台多人, 完全支持控制器, 定位控制器支持, 已支持 VR, 应用内购买","虚拟现实, 免费开玩, 多人, 动漫, 网络梗, 欢乐, 大型多人在线, 第一人称, 开放世界, 抢先体验",TRUE,CNY,0,0,0,Free,240355,181623,58732,75.56%,24.44%,7210650,4947,132,35531,46436,66673,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 日语, 波兰语, 葡萄牙语 - 巴西, 俄语, 简体中文, 繁体中文",TRUE,FALSE,FALSE,0,0,0
292030,巫师 3：狂猎,2015 年 5 月 18 日,CD PROJEKT RED,CD PROJEKT RED,角色扮演,"单人, Steam 成就, Steam 集换式卡牌, Steam 创意工坊, 可调整文字大小, 视角舒适度, 可选颜色, 自定义音量控制, 可调整难度, 无需应对快速反应事件, 随时保存, 立体声, 环绕声, 部分支持控制器, Steam 云, 在平板上远程畅玩, 在电视上远程畅玩, 家庭共享","角色扮演, 单人, Steam 成就, Steam 集换式卡牌, Steam 创意工坊, 可调整文字大小",FALSE,CNY,149,14.9,90,¥14.90,835349,802993,32356,96.13%,3.87%,25060470,3577,935,11891,27062,103329,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 阿拉伯语, 捷克语, 匈牙利语, 日语, 韩语, 波兰语, 葡萄牙语 - 巴西, 俄语, 繁体中文, 土耳其语, 简体中文, 西班牙语 - 拉丁美洲, 具有完全音频支持的语言",TRUE,FALSE,FALSE,18,22,78
945360,Among Us,2018 年 11 月 16 日,Innersloth,Innersloth,休闲,"多人, 玩家对战, 线上玩家对战, 局域网玩家对战, 合作, 在线合作, 局域网合作, 跨平台多人, Steam 成就, 完全支持控制器, Steam 集换式卡牌, 应用内购买, 在手机上远程畅玩, 在平板上远程畅玩, 家庭共享","多人, 社交推理, 在线合作, 太空, 生存, 2D, 欢乐, 心理, 社交聚会游戏, 合作",FALSE,CNY,25,25,0,¥25.00,700785,643681,57104,91.85%,8.15%,21023550,1562,667,2752,7981,438524,"英语, 葡萄牙语 - 巴西, 西班牙语 - 拉丁美洲, 西班牙语 - 西班牙, 韩语, 俄语, 法语, 意大利语, 德语, 荷兰语, 日语, 葡萄牙语 - 葡萄牙, 简体中文, 繁体中文",TRUE,FALSE,FALSE,0,0,33
1097150,糖豆人,2020 年 8 月 3 日,Mediatonic,,"动作, 休闲, 独立, 大型多人在线, 体育","多人, 大型多人在线, 玩家对战, 线上玩家对战, 合作, 在线合作, Steam 成就, 应用内购买, 部分支持控制器, 在手机上远程畅玩, 在平板上远程畅玩","多人, 社交聚会游戏, 大逃杀, 阖家, 大型多人在线, 平台游戏, 可爱, 欢乐, 玩家对战, 3D 平台",FALSE,CNY,0,0,0,Free,473743,385154,88589,81.30%,18.70%,14212290,1363,575,306,594,172026,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 日语, 韩语, 葡萄牙语 - 巴西, 俄语, 简体中文, 繁体中文",TRUE,FALSE,FALSE,0,0,34
49520,Borderlands 2,2012 年 9 月 20 日,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)","动作, 角色扮演","单人, 多人, 合作, Steam 成就, 完全支持控制器, Steam 集换式卡牌, Steam 云, 在手机上远程畅玩, 在平板上远程畅玩, 在电视上远程畅玩, 家庭共享","刷宝, 射击, 动作, 多人, 合作, 刷宝射击游戏, 第一人称射击, 角色扮演, 第一人称, 欢乐",FALSE,CNY,64,64,0,¥64.00,295218,272900,22318,92.44%,7.56%,8856540,3378,972,1307,2371,123596,"英语, 法语, 德语, 意大利语, 日语, 西班牙语 - 西班牙, 韩语, 繁体中文, 具有完全音频支持的语言",TRUE,TRUE,TRUE,17,5,75
227300,Euro Truck Simulator 2,2012 年 10 月 12 日,SCS Software,SCS Software,"独立, 模拟","单人, 多人, 合作, 在线合作, Steam 成就, Steam 集换式卡牌, Steam 创意工坊, 视角舒适度, 自定义音量控制, 可调整难度, 可以仅用键盘, 无需应对快速反应事件, 随时保存, 立体声, 环绕声, 部分支持控制器, Steam 云, 包含关卡编辑器, 在手机上远程畅玩, 在平板上远程畅玩, 远程同乐, 家庭共享","驾驶, 交通运输, 模拟, 开放世界, 汽车模拟, 拟真, 可模组化, 放松, 探索, 经济",FALSE,CNY,88,22,75,¥22.00,867404,844480,22924,97.36%,2.64%,26022120,7328,1692,13129,53761,72523,"英语, 德语, 法语, 意大利语, 韩语, 西班牙语 - 西班牙, 简体中文, 俄语, 日语, 葡萄牙语 - 葡萄牙, 波兰语, 丹麦语, 荷兰语, 芬兰语, 挪威语, 瑞典语, 匈牙利语, 捷克语, 罗马尼亚语, 土耳其语, 葡萄牙语 - 巴西, 保加利亚语, 希腊语, 乌克兰语, 繁体中文, 加泰罗尼亚语, 立陶宛语, 塞尔维亚语, 斯洛伐克语, 斯洛文尼亚语",TRUE,TRUE,TRUE,0,105,105
892970,Valheim: 英灵神殿,2021 年 2 月 2 日,Iron Gate AB,Coffee Stain Publishing,"动作, 冒险, 独立, 角色扮演, 抢先体验","单人, 多人, 合作, 在线合作, 完全支持控制器, 视角舒适度, 自定义音量控制, 可调整难度, 随时保存, 立体声, Steam 云, 在平板上远程畅玩, 家庭共享","开放世界生存制作, 生存, 在线合作, 开放世界, 多人, 建造, 制作, 基地建设, 探索, 合作",FALSE,CNY,74,74,0,¥74.00,499828,471451,28377,94.32%,5.68%,14994840,4874,1778,9100,22877,498478,"英语, 法语, 德语, 西班牙语 - 西班牙, 俄语, 简体中文, 土耳其语, 日语, 葡萄牙语 - 巴西, 波兰语, 乌克兰语, 意大利语, 韩语, 繁体中文",TRUE,TRUE,TRUE,0,1,0
739630,Phasmophobia 恐鬼症,2020 年 9 月 18 日,Kinetic Games,Kinetic Games,"动作, 独立, 抢先体验","单人, 多人, 合作, 在线合作, Steam 成就, 完全支持控制器, 定位控制器支持, 已支持 VR, Steam 集换式卡牌, 视角舒适度, 可调整难度, 无需应对快速反应事件, 立体声, 环绕声, Steam 云, 在手机上远程畅玩, 在平板上远程畅玩, 家庭共享","恐怖, 在线合作, 多人, 心理恐怖, 合作, 虚拟现实, 灵异, 第一人称, 调查, 黑暗",FALSE,CNY,76,53.2,30,¥53.20,768779,736611,32168,95.82%,4.18%,23063370,2685,928,6637,16282,112241,"英语, 葡萄牙语 - 葡萄牙, 西班牙语 - 西班牙, 葡萄牙语 - 巴西, 德语, 法语, 意大利语, 保加利亚语, 捷克语, 丹麦语, 荷兰语, 芬兰语, 希腊语, 匈牙利语, 日语, 韩语, 挪威语, 波兰语, 罗马尼亚语, 俄语, 简体中文, 瑞典语, 繁体中文, 土耳其语, 乌克兰语, 加泰罗尼亚语, 具有完全音频支持的语言",TRUE,FALSE,FALSE,0,0,54
1203220,永劫无间,2021 年 8 月 11 日,24 Entertainment,NetEase Games Global,"动作, 冒险, 大型多人在线, 免费开玩","多人, 玩家对战, 线上玩家对战, Steam 成就, Steam 集换式卡牌, 应用内购买, 部分支持控制器, 可用 HDR","大逃杀, 多人, 武术, 成人, 玩家对战, 动作, 女性主角, 角色自定义, 格斗, 大型多人在线",TRUE,CNY,0,0,0,Free,324927,225960,98967,69.54%,30.46%,9747810,8824,484,32835,97926,385770,"英语, 简体中文, 繁体中文, 日语, 韩语, 法语, 德语, 西班牙语 - 西班牙, 俄语, 土耳其语, 葡萄牙语 - 葡萄牙, 越南语, 泰语, 具有完全音频支持的语言",TRUE,FALSE,FALSE,0,4,40
320,Half-Life 2: Deathmatch,2004 年 11 月 1 日,Valve,Valve,动作,"多人, 自定义音量控制, 无需应对快速反应事件, 立体声, 环绕声, 已启用 Valve 反作弊保护, 包括 Source SDK, 家庭共享","动作, 第一人称射击, 多人, 射击, 第一人称, 科幻, 物理, 竞技, 欢乐, 合作",FALSE,CNY,0,0,0,Free,14296,12962,1334,90.67%,9.33%,428880,457,30,79,213,1546,英语,TRUE,FALSE,TRUE,0,0,0
